name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,category,enrollment,total_price,year,campus,net_cost,income_lvl,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
University of Richmond,Virginia,VA,Private,4 Year,12250,52610,64860,52610,64860,4182,Women,2269,49090,2008,On Campus,4218,"0 to 30,000",7,72600,129800,48,15
University of Rochester,New York,NY,Private,4 Year,15938,53926,69864,53926,69864,11060,Women,5626,50550,2008,On Campus,12424,"0 to 30,000",17,76800,140900,51,30
University of Saint Joseph,Connecticut,CT,Private,4 Year,11428,39173,50601,39173,50601,2565,Women,2284,40540,2008,On Campus,16990,"0 to 30,000",14,66000,101200,74,8
University of San Diego,California,CA,Private,4 Year,12980,49358,62338,49358,62338,8349,Women,4761,50670,2008,On Campus,14087,"0 to 30,000",19,73000,139000,48,15
University of San Francisco,California,CA,Private,4 Year,14830,48066,62896,48066,62896,10689,Women,6724,49030,2008,On Campus,37432,"0 to 30,000",24,73600,133600,55,12
University of Science and Arts of Oklahoma,Oklahoma,OK,Public,4 Year,6350,7215,13565,17565,23915,904,Women,583,13018,2008,On Campus,5620,"0 to 30,000",21,48100,85400,51,12
University of Scranton,Pennsylvania,PA,Private,4 Year,15182,44532,59714,44532,59714,5589,Women,3192,45316,2008,On Campus,18158,"0 to 30,000",25,65700,117300,42,13
University of Sioux Falls,South Dakota,SD,Private,4 Year,7350,18280,25630,18280,25630,1419,Women,868,29500,2008,On Campus,16162,"0 to 30,000",6,55500,93600,65,4
University of South Alabama,Alabama,AL,Public,4 Year,7620,9870,17490,19740,27360,15805,Women,9700,15900,2008,On Campus,8039,"0 to 30,000",12,58400,94600,56,14
University of South Dakota,South Dakota,SD,Public,4 Year,8216,9061,17277,12425,20641,10061,Women,6151,15747,2008,On Campus,10030,"0 to 30,000",3,57200,105200,57,8
University of South Florida,Florida,FL,Public,4 Year,11610,6410,18020,17324,28934,41938,Women,23382,NA,NA,NA,NA,NA,10,62000,110100,50,24
University of Southern California,California,CA,Private,4 Year,15395,56225,71620,56225,71620,42453,Women,22112,51881,2008,On Campus,13520,"0 to 30,000",10,80800,150100,47,25
University of Southern Maine,Maine,ME,Public,4 Year,9450,9520,18970,22780,32230,8428,Women,5002,21546,2008,On Campus,12905,"0 to 30,000",8,58700,95700,53,7
University of Southern Mississippi,Mississippi,MS,Public,4 Year,9857,8734,18591,10734,20591,14792,Women,9344,15644,2008,On Campus,11705,"0 to 30,000",4,54000,94300,55,10
University of the Cumberlands,Kentucky,KY,Private,4 Year,9000,23000,32000,23000,32000,5736,Women,3667,25084,2008,On Campus,9521,"0 to 30,000",18,50300,84800,66,25
University of the Ozarks,Arkansas,AR,Private,4 Year,7400,24230,31630,24230,31630,587,Women,306,26670,2008,On Campus,11232,"0 to 30,000",13,54200,89600,57,14
